Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.9259	1.0000	
1.9259	1.0000	0.7555	1.0000	
3.6815	2.0000	1.0806	1.0000	
5.7620	1.0000	1.0595	1.0000	
7.8216	1.0000	0.9312	1.0000	
9.7528	2.0000	0.9886	1.0000	
11.7414	1.0000	2.0000	1.0000	
14.7414	1.0000	0.7638	1.0000	
16.5052	1.0000	0.8321	1.0000	
18.3373	1.0000	0.7353	1.0000	
20.0726	2.0000	0.8748	1.0000	
21.9473	1.0000	1.0295	1.0000	
23.9769	1.0000	0.7866	1.0000	
25.7635	1.0000	0.9606	1.0000	
27.7241	1.0000	0.8586	1.0000	
29.5828	2.0000	0.7414	1.0000	
31.3242	1.0000	0.7599	1.0000	
33.0841	1.0000	0.7430	1.0000	
34.8271	1.0000	0.8979	1.0000	
36.7250	1.0000	1.0049	1.0000	
38.7299	1.0000	0.8153	1.0000	
40.5452	1.0000	0.7832	1.0000	
42.3284	2.0000	0.8203	1.0000	
44.1487	1.0000	0.8644	1.0000	
46.0131	1.0000	1.0242	1.0000	
48.0372	1.0000	0.9195	1.0000	
49.9568	1.0000	2.0000	1.0000	
52.9568	1.0000	1.8575	1.0000	
55.8143	1.0000	1.1301	1.0000	
57.9444	1.0000	0.9072	1.0000	
59.8516	1.0000	1.2419	1.0000	
62.0935	1.0000	0.7866	1.0000	
63.8801	1.0000	0.9886	1.0000	
65.8687	1.0000	1.0295	1.0000	
67.8982	1.0000	1.2660	1.0000	
70.1643	1.0000	1.1650	1.0000	
72.3292	2.0000	1.0595	1.0000	
74.3888	1.0000	0.8969	1.0000	
76.2857	1.0000	0.7646	1.0000	
78.0503	2.0000	0.7413	1.0000	
79.7916	1.0000	0.8748	1.0000	
81.6664	1.0000	1.2487	1.0000	
83.9151	1.0000	1.5753	1.0000	
86.4904	1.0000	1.4077	1.0000	
88.8981	1.0000	1.5834	1.0000	
91.4815	1.0000	2.0000	1.0000	
94.4815	2.0000	1.0495	1.0000	
96.5310	1.0000	1.2487	1.0000	
98.7797	1.0000	1.2640	1.0000	
101.0437	1.0000	0.7177	1.0000	
102.7614	1.0000	0.8204	1.0000	
104.5818	1.0000	0.8690	1.0000	
106.4508	1.0000	1.2055	1.0000	
108.6563	2.0000	1.8575	1.0000	
111.5138	1.0000	1.0700	1.0000	
113.5838	1.0000	0.7187	1.0000	
115.3025	1.0000	1.3143	1.0000	
117.6168	1.0000	2.0000	1.0000	
120.6168	1.0000	1.6821	1.0000	
123.2989	2.0000	0.7692	1.0000	
125.0681	1.0000	1.0242	1.0000	
127.0923	1.0000	0.8457	1.0000	
128.9381	2.0000	1.3176	1.0000	
131.2556	1.0000	0.7564	1.0000	
133.0120	1.0000	0.7289	1.0000	
134.7409	1.0000	1.6560	1.0000	
137.3969	2.0000	0.7498	1.0000	
139.1467	1.0000	0.8713	1.0000	
141.0180	1.0000	0.7082	1.0000	
142.7262	1.0000	1.1860	1.0000	
144.9122	1.0000	0.7411	1.0000	
146.6533	2.0000	0.7678	1.0000	
148.4211	1.0000	1.7489	1.0000	
151.1700	1.0000	0.7715	1.0000	
152.9415	1.0000	0.7341	1.0000	
154.6755	2.0000	0.7505	1.0000	
156.4260	1.0000	1.2595	1.0000	
158.6855	1.0000	1.8854	1.0000	
161.5709	1.0000	1.4492	1.0000	
164.0202	2.0000	1.1003	1.0000	
166.1205	1.0000	1.2813	1.0000	
168.4018	1.0000	0.8610	1.0000	
170.2628	2.0000	1.8977	1.0000	
173.1605	1.0000	2.0000	1.0000	
176.1605	1.0000	1.0806	1.0000	
178.2410	1.0000	0.7173	1.0000	
179.9583	1.0000	0.7124	1.0000	
181.6707	2.0000	0.8263	1.0000	
183.4970	1.0000	0.7908	1.0000	
185.2878	1.0000	0.7498	1.0000	
187.0376	2.0000	0.9033	1.0000	
188.9409	1.0000	0.8829	1.0000	
190.8238	1.0000	0.8101	1.0000	
192.6339	1.0000	0.8720	1.0000	
194.5059	1.0000	0.8784	1.0000	
196.3842	2.0000	1.2512	1.0000	
198.6355	1.0000	0.7051	1.0000	
200.3406	1.0000	0.9866	1.0000	
202.3272	1.0000	1.2182	1.0000	
204.5453	1.0000	0.8188	1.0000	
206.3642	1.0000	1.1719	1.0000	
208.5361	1.0000	0.9488	1.0000	
210.4849	1.0000	1.1677	1.0000	
212.6526	1.0000	1.2512	1.0000	
214.9038	1.0000	1.0239	1.0000	
216.9278	1.0000	1.5250	1.0000	
219.4528	1.0000	1.9149	1.0000	
222.3676	1.0000	1.2810	1.0000	
224.6486	1.0000	1.8835	1.0000	
227.5321	1.0000	0.7598	1.0000	
229.2919	1.0000	0.8474	1.0000	
231.1392	1.0000	0.7082	1.0000	
232.8474	1.0000	0.9431	1.0000	
234.7905	2.0000	0.7613	1.0000	
236.5518	1.0000	1.3198	1.0000	
238.8716	1.0000	0.8715	1.0000	
240.7431	1.0000	1.2216	1.0000	
242.9647	1.0000	1.0248	1.0000	
244.9895	1.0000	0.9010	1.0000	
246.8905	1.0000	1.5999	1.0000	
249.4904	1.0000	1.6202	1.0000	
252.1106	1.0000	0.8323	1.0000	
253.9428	1.0000	1.2997	1.0000	
256.2425	1.0000	0.7640	1.0000	
258.0066	1.0000	1.3652	1.0000	
260.3717	2.0000	1.1860	1.0000	
262.5577	1.0000	1.7489	1.0000	
265.3066	1.0000	2.0000	1.0000	
268.3066	1.0000	1.8019	1.0000	
271.1085	2.0000	0.7051	1.0000	
272.8136	1.0000	1.1710	1.0000	
274.9847	1.0000	0.9907	1.0000	
276.9754	1.0000	0.8959	1.0000	
278.8713	1.0000	0.9432	1.0000	
280.8145	1.0000	0.9556	1.0000	
282.7700	1.0000	1.0948	1.0000	
284.8648	1.0000	0.8306	1.0000	
