Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.0054	1.0000	
2.0054	1.0000	0.9944	1.0000	
3.9998	2.0000	0.8809	1.0000	
5.8807	1.0000	0.8119	1.0000	
7.6926	1.0000	1.1681	1.0000	
9.8606	2.0000	0.7338	1.0000	
11.5945	1.0000	0.7240	1.0000	
13.3185	1.0000	0.9761	1.0000	
15.2946	1.0000	0.7284	1.0000	
17.0230	1.0000	1.4632	1.0000	
19.4863	1.0000	0.7211	1.0000	
21.2074	1.0000	2.0000	1.0000	
24.2074	1.0000	1.6053	1.0000	
26.8127	1.0000	1.3279	1.0000	
29.1406	1.0000	0.7677	1.0000	
30.9083	2.0000	0.7059	1.0000	
32.6142	1.0000	0.7272	1.0000	
34.3414	1.0000	1.2836	1.0000	
36.6250	1.0000	0.8668	1.0000	
38.4917	1.0000	0.8517	1.0000	
40.3435	1.0000	0.7305	1.0000	
42.0740	2.0000	0.7677	1.0000	
43.8417	1.0000	0.7998	1.0000	
45.6415	2.0000	1.0113	1.0000	
47.6528	1.0000	0.8668	1.0000	
49.5196	1.0000	0.7636	1.0000	
51.2832	1.0000	1.1233	1.0000	
53.4065	2.0000	0.7064	1.0000	
55.1129	1.0000	0.7265	1.0000	
56.8394	1.0000	0.7828	1.0000	
58.6222	1.0000	0.7981	1.0000	
60.4203	1.0000	1.2876	1.0000	
62.7079	1.0000	0.7545	1.0000	
64.4625	1.0000	2.0000	1.0000	
67.4625	1.0000	0.9543	1.0000	
69.4168	1.0000	0.9515	1.0000	
71.3684	1.0000	1.0817	1.0000	
73.4501	2.0000	0.8775	1.0000	
75.3276	1.0000	0.9038	1.0000	
77.2313	2.0000	0.8898	1.0000	
79.1211	1.0000	0.8982	1.0000	
81.0193	1.0000	1.2588	1.0000	
83.2781	1.0000	1.2037	1.0000	
85.4818	2.0000	0.9920	1.0000	
87.4738	1.0000	2.0000	1.0000	
90.4738	1.0000	2.0000	1.0000	
93.4738	1.0000	1.5328	1.0000	
96.0066	1.0000	1.0557	1.0000	
98.0623	1.0000	0.7442	1.0000	
99.8064	1.0000	1.5635	1.0000	
102.3700	1.0000	0.7220	1.0000	
104.0920	1.0000	0.8688	1.0000	
105.9609	1.0000	0.8287	1.0000	
107.7895	2.0000	0.8900	1.0000	
109.6796	1.0000	1.2501	1.0000	
111.9297	1.0000	1.1434	1.0000	
114.0730	1.0000	0.8697	1.0000	
115.9427	1.0000	1.6053	1.0000	
118.5480	1.0000	1.8801	1.0000	
121.4281	1.0000	1.3163	1.0000	
123.7444	1.0000	0.9722	1.0000	
125.7167	1.0000	0.7020	1.0000	
127.4187	2.0000	1.2037	1.0000	
129.6224	1.0000	0.7981	1.0000	
131.4205	1.0000	0.7462	1.0000	
133.1667	2.0000	0.7450	1.0000	
134.9117	1.0000	1.0780	1.0000	
136.9897	1.0000	1.2880	1.0000	
139.2777	1.0000	0.8106	1.0000	
141.0883	1.0000	0.9120	1.0000	
143.0003	2.0000	0.7171	1.0000	
144.7174	1.0000	0.9850	1.0000	
146.7024	1.0000	0.7390	1.0000	
148.4415	1.0000	0.9092	1.0000	
150.3507	2.0000	0.8351	1.0000	
152.1858	1.0000	0.9388	1.0000	
154.1246	1.0000	0.9092	1.0000	
156.0338	1.0000	1.0724	1.0000	
158.1062	1.0000	0.8685	1.0000	
159.9747	1.0000	1.3964	1.0000	
162.3710	1.0000	1.1951	1.0000	
164.5661	1.0000	1.0941	1.0000	
166.6603	2.0000	2.0000	1.0000	
169.6603	1.0000	2.0000	1.0000	
172.6603	1.0000	0.7606	1.0000	
174.4209	1.0000	1.0470	1.0000	
176.4679	1.0000	1.6853	1.0000	
179.1532	1.0000	0.8662	1.0000	
181.0194	1.0000	0.8398	1.0000	
182.8592	2.0000	1.2501	1.0000	
185.1093	1.0000	0.8603	1.0000	
186.9696	2.0000	0.8603	1.0000	
188.8298	1.0000	1.4644	1.0000	
191.2943	1.0000	1.3215	1.0000	
193.6157	1.0000	1.6168	1.0000	
196.2326	1.0000	0.8471	1.0000	
198.0796	1.0000	0.7748	1.0000	
199.8544	1.0000	0.9500	1.0000	
201.8044	2.0000	1.0059	1.0000	
203.8103	1.0000	1.0307	1.0000	
205.8410	1.0000	1.3586	1.0000	
