Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.7169	1.0000	
1.7169	2.0000	0.7659	1.0000	
3.4828	1.0000	1.3462	1.0000	
5.8290	1.0000	1.0908	1.0000	
7.9197	1.0000	1.0250	1.0000	
9.9447	2.0000	0.8428	1.0000	
11.7875	1.0000	0.7273	1.0000	
13.5149	1.0000	1.8183	1.0000	
16.3331	1.0000	0.7021	1.0000	
18.0352	1.0000	0.7230	1.0000	
19.7582	1.0000	0.8175	1.0000	
21.5757	2.0000	0.7110	1.0000	
23.2867	1.0000	0.7014	1.0000	
24.9880	1.0000	0.8790	1.0000	
26.8671	1.0000	0.8877	1.0000	
28.7547	1.0000	0.7553	1.0000	
30.5101	2.0000	1.0668	1.0000	
32.5768	1.0000	0.8657	1.0000	
34.4426	1.0000	1.5589	1.0000	
37.0015	1.0000	0.8758	1.0000	
38.8773	1.0000	0.8452	1.0000	
40.7225	2.0000	1.0355	1.0000	
42.7580	1.0000	0.9279	1.0000	
44.6859	1.0000	0.8299	1.0000	
46.5158	1.0000	1.3923	1.0000	
48.9082	1.0000	1.0264	1.0000	
50.9346	1.0000	1.0482	1.0000	
52.9828	2.0000	0.8979	1.0000	
54.8807	1.0000	0.8430	1.0000	
56.7237	1.0000	0.7547	1.0000	
58.4784	1.0000	2.0000	1.0000	
61.4784	1.0000	0.8406	1.0000	
63.3190	2.0000	0.8877	1.0000	
65.2067	1.0000	1.3750	1.0000	
67.5817	1.0000	1.0576	1.0000	
69.6393	1.0000	2.0000	1.0000	
72.6393	1.0000	0.9120	1.0000	
74.5513	1.0000	0.8082	1.0000	
76.3595	2.0000	1.3430	1.0000	
78.7025	1.0000	1.6882	1.0000	
81.3907	1.0000	1.2065	1.0000	
83.5973	1.0000	1.3882	1.0000	
85.9855	1.0000	1.1183	1.0000	
88.1038	1.0000	0.8979	1.0000	
90.0017	1.0000	0.7008	1.0000	
91.7025	2.0000	1.4615	1.0000	
94.1639	1.0000	1.6342	1.0000	
96.7982	1.0000	1.2887	1.0000	
99.0869	1.0000	0.7659	1.0000	
100.8528	1.0000	0.7980	1.0000	
102.6508	2.0000	1.2845	1.0000	
104.9354	1.0000	1.0966	1.0000	
107.0319	1.0000	0.7275	1.0000	
108.7595	1.0000	0.7353	1.0000	
110.4948	1.0000	0.8183	1.0000	
112.3131	2.0000	0.8139	1.0000	
114.1270	1.0000	1.1501	1.0000	
116.2772	1.0000	0.9233	1.0000	
118.2005	1.0000	1.0452	1.0000	
120.2457	1.0000	1.0314	1.0000	
122.2771	1.0000	0.8542	1.0000	
124.1314	1.0000	1.4636	1.0000	
126.5949	1.0000	1.0298	1.0000	
128.6247	1.0000	1.0065	1.0000	
130.6312	1.0000	1.2048	1.0000	
132.8360	1.0000	1.2000	1.0000	
135.0360	1.0000	1.0342	1.0000	
137.0701	1.0000	1.9657	1.0000	
140.0359	1.0000	1.4615	1.0000	
142.4974	1.0000	1.1491	1.0000	
144.6465	1.0000	0.7246	1.0000	
146.3711	1.0000	2.0000	1.0000	
149.3711	1.0000	0.9790	1.0000	
151.3502	1.0000	0.8016	1.0000	
153.1518	1.0000	0.7921	1.0000	
154.9438	1.0000	1.4151	1.0000	
157.3589	2.0000	0.8542	1.0000	
159.2131	1.0000	1.5274	1.0000	
161.7405	2.0000	2.0000	1.0000	
164.7405	1.0000	1.3409	1.0000	
167.0814	1.0000	2.0000	1.0000	
170.0814	1.0000	1.5800	1.0000	
172.6614	2.0000	0.8657	1.0000	
174.5272	1.0000	0.8001	1.0000	
176.3272	1.0000	2.0000	1.0000	
179.3272	1.0000	1.0616	1.0000	
181.3888	1.0000	0.9551	1.0000	
183.3439	1.0000	2.0000	1.0000	
186.3439	1.0000	1.0974	1.0000	
188.4413	1.0000	0.7482	1.0000	
190.1895	1.0000	1.3309	1.0000	
192.5204	1.0000	1.0618	1.0000	
194.5823	1.0000	0.7383	1.0000	
196.3206	1.0000	0.8626	1.0000	
198.1832	1.0000	1.3409	1.0000	
200.5241	1.0000	0.7024	1.0000	
202.2265	1.0000	1.0603	1.0000	
204.2868	2.0000	0.7006	1.0000	
205.9874	1.0000	1.7252	1.0000	
208.7125	1.0000	1.0974	1.0000	
210.8100	1.0000	2.0000	1.0000	
213.8100	1.0000	1.7853	1.0000	
216.5952	1.0000	1.2254	1.0000	
218.8206	1.0000	0.7599	1.0000	
220.5806	1.0000	0.8579	1.0000	
222.4384	2.0000	0.9575	1.0000	
224.3959	1.0000	1.9517	1.0000	
227.3477	1.0000	2.0000	1.0000	
230.3477	1.0000	1.4366	1.0000	
232.7843	1.0000	1.9652	1.0000	
235.7495	1.0000	0.9258	1.0000	
237.6753	1.0000	1.0603	1.0000	
239.7356	1.0000	0.8379	1.0000	
241.5735	1.0000	1.8469	1.0000	
244.4204	1.0000	1.2309	1.0000	
246.6513	1.0000	1.7252	1.0000	
249.3765	1.0000	0.7667	1.0000	
251.1432	1.0000	0.7006	1.0000	
252.8437	1.0000	1.4921	1.0000	
255.3358	2.0000	1.1183	1.0000	
257.4542	1.0000	0.7110	1.0000	
259.1651	2.0000	0.8139	1.0000	
260.9791	1.0000	0.9394	1.0000	
262.9185	1.0000	0.7148	1.0000	
264.6333	1.0000	0.7701	1.0000	
266.4034	2.0000	0.7721	1.0000	
268.1754	1.0000	1.4088	1.0000	
270.5843	1.0000	0.9784	1.0000	
272.5627	1.0000	0.8284	1.0000	
274.3911	1.0000	0.8824	1.0000	
276.2735	1.0000	0.8905	1.0000	
278.1639	2.0000	0.7275	1.0000	
279.8914	1.0000	0.8462	1.0000	
281.7377	1.0000	0.9428	1.0000	
283.6805	1.0000	0.7058	1.0000	
285.3863	1.0000	0.7279	1.0000	
287.1142	2.0000	0.9237	1.0000	
289.0379	1.0000	1.0817	1.0000	
291.1196	1.0000	0.9490	1.0000	
293.0687	1.0000	0.9847	1.0000	
295.0533	2.0000	1.4151	1.0000	
297.4684	1.0000	2.0000	1.0000	
300.4684	1.0000	1.0255	1.0000	
302.4939	1.0000	1.4908	1.0000	
304.9847	2.0000	1.4921	1.0000	
307.4768	1.0000	0.8805	1.0000	
309.3573	1.0000	1.0075	1.0000	
311.3648	1.0000	0.8833	1.0000	
313.2481	2.0000	0.9166	1.0000	
