Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.9145	1.0000	
1.9145	1.0000	0.9015	1.0000	
3.8160	1.0000	0.7897	1.0000	
5.6057	2.0000	0.7047	1.0000	
7.3104	1.0000	1.1938	1.0000	
9.5043	1.0000	0.7051	1.0000	
11.2094	1.0000	0.7696	1.0000	
12.9790	1.0000	1.3570	1.0000	
15.3360	1.0000	1.1674	1.0000	
17.5034	2.0000	0.8439	1.0000	
19.3472	1.0000	0.9038	1.0000	
21.2511	1.0000	0.8488	1.0000	
23.0999	1.0000	0.9945	1.0000	
25.0944	1.0000	0.9621	1.0000	
27.0565	1.0000	2.0000	1.0000	
30.0565	1.0000	1.1295	1.0000	
32.1860	1.0000	1.3492	1.0000	
34.5352	1.0000	2.0000	1.0000	
37.5352	1.0000	0.9852	1.0000	
39.5205	1.0000	1.1575	1.0000	
41.6779	1.0000	0.7269	1.0000	
43.4049	2.0000	0.7659	1.0000	
45.1707	1.0000	0.7767	1.0000	
46.9474	1.0000	1.8727	1.0000	
49.8201	1.0000	1.4619	1.0000	
52.2821	1.0000	1.4677	1.0000	
54.7498	1.0000	0.9300	1.0000	
56.6798	1.0000	1.2402	1.0000	
58.9200	2.0000	0.8954	1.0000	
60.8154	1.0000	0.7630	1.0000	
62.5783	1.0000	1.1033	1.0000	
64.6816	1.0000	1.9990	1.0000	
67.6807	1.0000	1.2287	1.0000	
69.9094	1.0000	0.9095	1.0000	
71.8189	1.0000	0.9517	1.0000	
73.7706	2.0000	2.0000	1.0000	
76.7706	1.0000	0.7268	1.0000	
78.4974	1.0000	1.1906	1.0000	
80.6880	1.0000	1.3393	1.0000	
83.0273	2.0000	0.8064	1.0000	
84.8336	1.0000	0.7459	1.0000	
86.5795	2.0000	0.7897	1.0000	
88.3692	1.0000	0.7870	1.0000	
90.1562	1.0000	1.1750	1.0000	
92.3313	2.0000	1.1469	1.0000	
94.4782	1.0000	0.7980	1.0000	
96.2761	1.0000	2.0000	1.0000	
99.2761	1.0000	1.0458	1.0000	
101.3219	1.0000	0.8408	1.0000	
103.1628	1.0000	0.7592	1.0000	
104.9219	1.0000	0.7055	1.0000	
106.6274	1.0000	1.3013	1.0000	
108.9288	1.0000	1.1469	1.0000	
111.0757	1.0000	0.7450	1.0000	
112.8207	1.0000	1.3950	1.0000	
115.2157	2.0000	0.7957	1.0000	
117.0114	1.0000	0.7695	1.0000	
118.7809	1.0000	0.7477	1.0000	
120.5285	2.0000	1.4131	1.0000	
122.9417	1.0000	1.3670	1.0000	
125.3087	1.0000	0.9432	1.0000	
127.2518	1.0000	0.8938	1.0000	
129.1457	2.0000	0.7032	1.0000	
130.8488	1.0000	0.7027	1.0000	
132.5515	1.0000	1.4921	1.0000	
135.0437	2.0000	1.4921	1.0000	
137.5358	1.0000	1.0718	1.0000	
139.6075	1.0000	0.7497	1.0000	
141.3572	1.0000	1.2045	1.0000	
143.5617	1.0000	2.0000	1.0000	
146.5617	2.0000	1.2484	1.0000	
148.8101	1.0000	0.7296	1.0000	
150.5396	1.0000	1.0267	1.0000	
152.5664	2.0000	1.7377	1.0000	
155.3040	1.0000	1.1473	1.0000	
157.4514	1.0000	1.5057	1.0000	
159.9571	2.0000	0.8477	1.0000	
161.8048	1.0000	1.3645	1.0000	
164.1693	1.0000	0.9012	1.0000	
166.0706	1.0000	0.9593	1.0000	
168.0299	2.0000	0.9945	1.0000	
170.0244	1.0000	0.8717	1.0000	
171.8961	1.0000	1.4131	1.0000	
174.3092	1.0000	1.9166	1.0000	
177.2258	1.0000	0.9676	1.0000	
179.1934	1.0000	0.8234	1.0000	
181.0168	1.0000	1.5417	1.0000	
183.5585	1.0000	0.7891	1.0000	
185.3475	2.0000	1.1906	1.0000	
187.5382	1.0000	0.9517	1.0000	
189.4898	1.0000	0.7552	1.0000	
191.2450	1.0000	1.9881	1.0000	
194.2331	1.0000	1.2484	1.0000	
196.4814	1.0000	0.7920	1.0000	
198.2734	2.0000	1.1978	1.0000	
200.4712	1.0000	1.5774	1.0000	
203.0486	1.0000	0.7598	1.0000	
204.8084	1.0000	1.0230	1.0000	
206.8314	1.0000	0.7304	1.0000	
208.5618	2.0000	0.8528	1.0000	
210.4147	1.0000	1.7377	1.0000	
213.1523	1.0000	1.8371	1.0000	
215.9894	1.0000	1.3919	1.0000	
218.3813	1.0000	0.7852	1.0000	
220.1665	1.0000	1.1054	1.0000	
