Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.7980	1.0000	
1.7980	1.0000	1.2509	1.0000	
4.0490	1.0000	0.9065	1.0000	
5.9555	1.0000	0.8621	1.0000	
7.8176	1.0000	0.8996	1.0000	
9.7171	1.0000	0.9659	1.0000	
11.6830	1.0000	1.5180	1.0000	
14.2010	1.0000	0.9853	1.0000	
16.1863	1.0000	0.8778	1.0000	
18.0640	1.0000	1.3557	1.0000	
20.4198	1.0000	0.7770	1.0000	
22.1968	1.0000	1.4801	1.0000	
24.6769	2.0000	1.2529	1.0000	
26.9297	1.0000	0.7442	1.0000	
28.6739	1.0000	1.1308	1.0000	
30.8048	1.0000	0.9150	1.0000	
32.7198	2.0000	0.7231	1.0000	
34.4429	1.0000	0.7231	1.0000	
36.1660	1.0000	1.3673	1.0000	
38.5333	1.0000	1.3170	1.0000	
40.8503	1.0000	1.4054	1.0000	
43.2557	1.0000	0.9124	1.0000	
45.1681	2.0000	1.3557	1.0000	
47.5238	1.0000	1.3671	1.0000	
49.8910	1.0000	1.7676	1.0000	
52.6585	1.0000	1.3731	1.0000	
55.0317	1.0000	1.0445	1.0000	
57.0761	1.0000	0.7075	1.0000	
58.7836	2.0000	0.8450	1.0000	
60.6286	1.0000	0.8225	1.0000	
62.4511	1.0000	1.2629	1.0000	
64.7140	1.0000	1.0072	1.0000	
66.7212	1.0000	0.8933	1.0000	
68.6145	1.0000	1.6943	1.0000	
71.3089	1.0000	1.6745	1.0000	
73.9834	1.0000	0.9262	1.0000	
75.9096	1.0000	0.8400	1.0000	
77.7496	1.0000	1.4211	1.0000	
80.1707	2.0000	1.0271	1.0000	
82.1977	1.0000	0.8108	1.0000	
84.0085	1.0000	0.8544	1.0000	
85.8629	1.0000	0.7708	1.0000	
87.6337	1.0000	2.0000	1.0000	
90.6337	1.0000	1.2011	1.0000	
92.8347	1.0000	1.3072	1.0000	
95.1420	1.0000	1.8276	1.0000	
97.9695	1.0000	2.0000	1.0000	
100.9695	2.0000	0.8610	1.0000	
102.8305	1.0000	0.7413	1.0000	
104.5717	1.0000	1.1244	1.0000	
106.6961	1.0000	0.7652	1.0000	
108.4613	1.0000	0.7014	1.0000	
110.1627	1.0000	0.7611	1.0000	
111.9238	1.0000	0.8465	1.0000	
