Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.0588	1.0000	
2.0588	1.0000	1.1097	1.0000	
4.1685	2.0000	0.8292	1.0000	
5.9977	1.0000	1.1882	1.0000	
8.1860	1.0000	1.1137	1.0000	
10.2997	1.0000	1.3303	1.0000	
12.6301	1.0000	0.9222	1.0000	
14.5522	2.0000	1.5206	1.0000	
17.0728	1.0000	0.9974	1.0000	
19.0702	1.0000	1.6695	1.0000	
21.7397	1.0000	0.7290	1.0000	
23.4688	1.0000	0.8379	1.0000	
25.3067	1.0000	0.7836	1.0000	
27.0903	1.0000	0.8292	1.0000	
28.9195	1.0000	0.9436	1.0000	
30.8632	1.0000	0.8589	1.0000	
32.7221	2.0000	0.8086	1.0000	
34.5306	1.0000	0.7704	1.0000	
36.3010	1.0000	1.8269	1.0000	
39.1279	1.0000	0.9430	1.0000	
41.0709	1.0000	2.0000	1.0000	
44.0709	1.0000	0.7326	1.0000	
45.8035	1.0000	0.7778	1.0000	
47.5813	1.0000	0.7533	1.0000	
49.3346	2.0000	0.7169	1.0000	
51.0515	1.0000	0.7649	1.0000	
52.8164	1.0000	0.9719	1.0000	
54.7883	1.0000	1.0493	1.0000	
56.8376	2.0000	0.8697	1.0000	
58.7072	1.0000	0.7150	1.0000	
60.4222	1.0000	0.7335	1.0000	
62.1557	2.0000	1.8269	1.0000	
64.9826	1.0000	1.0498	1.0000	
67.0324	1.0000	0.8142	1.0000	
68.8466	1.0000	0.7833	1.0000	
70.6299	1.0000	1.6960	1.0000	
73.3258	1.0000	1.0651	1.0000	
75.3910	1.0000	1.0488	1.0000	
77.4398	1.0000	0.9351	1.0000	
79.3749	2.0000	1.1185	1.0000	
81.4935	1.0000	0.7965	1.0000	
83.2900	1.0000	2.0000	1.0000	
86.2900	1.0000	2.0000	1.0000	
89.2900	2.0000	1.0507	1.0000	
91.3407	1.0000	1.8470	1.0000	
94.1877	1.0000	1.8815	1.0000	
97.0692	1.0000	0.7781	1.0000	
98.8473	1.0000	0.7449	1.0000	
100.5922	2.0000	0.7555	1.0000	
102.3477	1.0000	0.8857	1.0000	
104.2334	2.0000	1.9357	1.0000	
107.1691	1.0000	0.7069	1.0000	
108.8760	2.0000	1.0862	1.0000	
110.9622	1.0000	0.8730	1.0000	
112.8352	1.0000	0.7169	1.0000	
114.5521	1.0000	0.8737	1.0000	
116.4258	1.0000	2.0000	1.0000	
119.4258	1.0000	1.2073	1.0000	
121.6331	1.0000	0.7111	1.0000	
123.3442	2.0000	0.9351	1.0000	
125.2793	1.0000	1.0434	1.0000	
127.3227	1.0000	0.9584	1.0000	
129.2811	1.0000	0.7169	1.0000	
130.9980	1.0000	1.0230	1.0000	
133.0209	2.0000	0.9126	1.0000	
134.9336	1.0000	0.7499	1.0000	
136.6835	1.0000	0.8215	1.0000	
138.5049	1.0000	1.6266	1.0000	
141.1315	1.0000	0.8930	1.0000	
143.0246	1.0000	0.9967	1.0000	
145.0213	1.0000	1.4959	1.0000	
147.5172	2.0000	1.1078	1.0000	
149.6250	1.0000	1.1882	1.0000	
151.8132	1.0000	1.0862	1.0000	
153.8994	1.0000	1.6725	1.0000	
156.5719	2.0000	1.7193	1.0000	
159.2913	1.0000	1.7712	1.0000	
162.0625	1.0000	0.8482	1.0000	
163.9106	1.0000	1.4410	1.0000	
166.3516	2.0000	0.8361	1.0000	
168.1878	1.0000	1.1576	1.0000	
