Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.2692	1.0000	
2.2692	1.0000	0.7887	1.0000	
4.0578	2.0000	0.9870	1.0000	
6.0449	1.0000	0.7897	1.0000	
7.8346	2.0000	0.9608	1.0000	
9.7954	1.0000	0.9891	1.0000	
11.7845	1.0000	1.3348	1.0000	
14.1193	1.0000	0.9219	1.0000	
16.0412	2.0000	0.7845	1.0000	
17.8257	1.0000	1.0298	1.0000	
19.8556	1.0000	1.3077	1.0000	
22.1633	1.0000	1.9850	1.0000	
25.1483	1.0000	0.9232	1.0000	
27.0715	1.0000	1.0545	1.0000	
29.1260	1.0000	1.0435	1.0000	
31.1695	1.0000	0.8993	1.0000	
33.0689	1.0000	0.7526	1.0000	
34.8215	1.0000	0.8869	1.0000	
36.7084	1.0000	1.0158	1.0000	
38.7242	1.0000	1.0916	1.0000	
40.8158	1.0000	0.8477	1.0000	
42.6635	1.0000	0.7367	1.0000	
44.4002	1.0000	0.8693	1.0000	
46.2694	2.0000	0.7474	1.0000	
48.0168	1.0000	0.7735	1.0000	
49.7903	1.0000	0.7580	1.0000	
51.5483	1.0000	1.7167	1.0000	
54.2650	1.0000	1.1773	1.0000	
56.4423	1.0000	0.8063	1.0000	
58.2486	2.0000	1.6008	1.0000	
60.8494	1.0000	1.1981	1.0000	
63.0475	1.0000	1.4005	1.0000	
65.4480	1.0000	0.9334	1.0000	
67.3814	2.0000	1.6893	1.0000	
70.0707	1.0000	1.0812	1.0000	
72.1519	1.0000	0.7231	1.0000	
73.8750	1.0000	1.8680	1.0000	
76.7430	1.0000	1.1795	1.0000	
78.9225	1.0000	0.7487	1.0000	
80.6712	1.0000	1.4209	1.0000	
83.0922	2.0000	1.5698	1.0000	
85.6620	1.0000	1.1333	1.0000	
87.7953	1.0000	0.7442	1.0000	
89.5395	2.0000	2.0000	1.0000	
92.5395	1.0000	1.7835	1.0000	
95.3230	1.0000	0.7394	1.0000	
97.0624	1.0000	0.9489	1.0000	
99.0113	2.0000	0.9738	1.0000	
100.9851	1.0000	1.5465	1.0000	
103.5316	1.0000	1.2936	1.0000	
105.8252	1.0000	2.0000	1.0000	
108.8252	1.0000	2.0000	1.0000	
111.8252	1.0000	1.2203	1.0000	
114.0456	1.0000	2.0000	1.0000	
117.0456	1.0000	0.8289	1.0000	
118.8745	1.0000	0.9339	1.0000	
120.8084	2.0000	0.7606	1.0000	
122.5690	1.0000	0.9022	1.0000	
124.4711	1.0000	0.7820	1.0000	
126.2532	1.0000	0.8394	1.0000	
128.0926	1.0000	1.1388	1.0000	
130.2314	1.0000	1.0177	1.0000	
132.2491	1.0000	0.8055	1.0000	
134.0545	1.0000	1.7682	1.0000	
136.8227	1.0000	0.8166	1.0000	
138.6394	1.0000	0.8849	1.0000	
140.5243	2.0000	0.7487	1.0000	
142.2730	1.0000	1.0276	1.0000	
144.3006	1.0000	0.9973	1.0000	
146.2979	2.0000	0.8920	1.0000	
148.1899	1.0000	1.0998	1.0000	
150.2897	1.0000	0.7190	1.0000	
152.0087	2.0000	1.4516	1.0000	
154.4603	1.0000	0.9608	1.0000	
156.4211	1.0000	0.7388	1.0000	
158.1599	1.0000	0.7695	1.0000	
159.9294	2.0000	0.7424	1.0000	
161.6718	1.0000	0.7411	1.0000	
163.4128	1.0000	0.9518	1.0000	
165.3646	1.0000	0.9833	1.0000	
167.3479	2.0000	0.7561	1.0000	
169.1040	1.0000	1.1750	1.0000	
171.2791	1.0000	0.8676	1.0000	
173.1466	1.0000	0.8631	1.0000	
175.0097	2.0000	0.7674	1.0000	
176.7771	1.0000	0.9051	1.0000	
178.6821	1.0000	0.7210	1.0000	
180.4031	1.0000	1.4887	1.0000	
182.8918	1.0000	0.8836	1.0000	
184.7753	2.0000	0.8394	1.0000	
186.6147	1.0000	0.7799	1.0000	
188.3946	1.0000	1.1603	1.0000	
190.5550	1.0000	0.9717	1.0000	
192.5266	1.0000	0.8096	1.0000	
194.3363	2.0000	0.7190	1.0000	
196.0553	1.0000	0.8921	1.0000	
197.9474	1.0000	0.9738	1.0000	
199.9212	1.0000	0.8349	1.0000	
201.7561	1.0000	1.3072	1.0000	
204.0632	1.0000	1.6893	1.0000	
206.7526	1.0000	2.0000	1.0000	
209.7526	1.0000	2.0000	1.0000	
212.7526	1.0000	1.5698	1.0000	
215.3224	1.0000	0.7891	1.0000	
217.1115	2.0000	1.3130	1.0000	
219.4245	1.0000	0.9409	1.0000	
221.3655	1.0000	0.9891	1.0000	
223.3545	1.0000	1.1342	1.0000	
225.4887	1.0000	1.0705	1.0000	
227.5593	2.0000	0.7109	1.0000	
229.2701	1.0000	1.4207	1.0000	
231.6908	1.0000	1.3301	1.0000	
234.0210	1.0000	0.8567	1.0000	
235.8777	1.0000	0.7512	1.0000	
237.6289	1.0000	0.8920	1.0000	
239.5210	1.0000	0.9351	1.0000	
241.4561	1.0000	0.9405	1.0000	
243.3966	1.0000	1.3106	1.0000	
245.7072	1.0000	0.7070	1.0000	
247.4142	1.0000	1.1603	1.0000	
249.5745	2.0000	0.8555	1.0000	
251.4300	1.0000	0.8386	1.0000	
253.2685	1.0000	0.7908	1.0000	
255.0594	1.0000	1.5382	1.0000	
257.5976	1.0000	0.9446	1.0000	
259.5423	2.0000	1.7167	1.0000	
262.2590	1.0000	1.9197	1.0000	
265.1787	2.0000	1.0435	1.0000	
267.2222	1.0000	0.8156	1.0000	
269.0378	1.0000	0.8738	1.0000	
270.9116	1.0000	1.1438	1.0000	
273.0554	1.0000	0.8213	1.0000	
274.8767	2.0000	1.6008	1.0000	
277.4775	1.0000	0.8096	1.0000	
279.2871	1.0000	0.9232	1.0000	
281.2104	1.0000	0.8949	1.0000	
283.1052	1.0000	0.7109	1.0000	
284.8161	1.0000	1.0901	1.0000	
286.9062	2.0000	1.8358	1.0000	
289.7419	1.0000	0.7757	1.0000	
291.5177	1.0000	0.9702	1.0000	
293.4879	1.0000	0.8677	1.0000	
295.3556	2.0000	0.7908	1.0000	
297.1465	1.0000	1.2955	1.0000	
299.4419	2.0000	0.8386	1.0000	
301.2805	1.0000	1.0801	1.0000	
303.3606	1.0000	0.7550	1.0000	
305.1156	1.0000	0.8904	1.0000	
307.0060	1.0000	0.7210	1.0000	
308.7270	1.0000	1.4396	1.0000	
311.1666	1.0000	0.8600	1.0000	
313.0266	1.0000	1.6932	1.0000	
315.7198	1.0000	0.9720	1.0000	
317.6918	1.0000	1.2623	1.0000	
319.9541	1.0000	1.4516	1.0000	
