Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.1041	1.0000	
2.1041	1.0000	0.9464	1.0000	
4.0505	2.0000	1.0366	1.0000	
6.0871	1.0000	0.8849	1.0000	
7.9720	1.0000	0.8997	1.0000	
9.8717	1.0000	0.9144	1.0000	
11.7861	1.0000	0.9783	1.0000	
13.7644	1.0000	0.8624	1.0000	
15.6268	1.0000	0.7048	1.0000	
17.3317	1.0000	0.8302	1.0000	
19.1618	2.0000	1.1086	1.0000	
21.2705	1.0000	1.1332	1.0000	
23.4036	2.0000	0.9834	1.0000	
25.3871	1.0000	0.7891	1.0000	
27.1761	1.0000	0.8253	1.0000	
29.0015	1.0000	1.2504	1.0000	
31.2519	1.0000	0.7710	1.0000	
33.0229	2.0000	0.9257	1.0000	
34.9485	1.0000	0.7285	1.0000	
36.6771	1.0000	0.8121	1.0000	
38.4892	1.0000	0.7925	1.0000	
40.2817	1.0000	0.7099	1.0000	
41.9916	1.0000	2.0000	1.0000	
44.9916	1.0000	2.0000	1.0000	
47.9916	1.0000	2.0000	1.0000	
50.9916	2.0000	0.9064	1.0000	
52.8980	1.0000	1.0704	1.0000	
54.9684	1.0000	0.9656	1.0000	
56.9341	2.0000	0.7210	1.0000	
58.6551	1.0000	0.8292	1.0000	
60.4843	1.0000	1.1737	1.0000	
62.6580	2.0000	1.1732	1.0000	
64.8312	1.0000	1.1737	1.0000	
67.0049	1.0000	0.8672	1.0000	
68.8721	1.0000	1.1732	1.0000	
71.0453	1.0000	0.7084	1.0000	
72.7537	1.0000	0.9459	1.0000	
74.6996	1.0000	0.8916	1.0000	
76.5912	1.0000	0.7322	1.0000	
78.3233	1.0000	0.7174	1.0000	
80.0407	2.0000	0.9161	1.0000	
81.9568	1.0000	1.3009	1.0000	
84.2577	1.0000	0.9605	1.0000	
86.2181	1.0000	0.8714	1.0000	
88.0895	1.0000	1.5148	1.0000	
90.6043	1.0000	0.9088	1.0000	
92.5131	1.0000	0.9992	1.0000	
94.5123	1.0000	0.8261	1.0000	
96.3384	1.0000	1.2685	1.0000	
98.6069	1.0000	0.7590	1.0000	
100.3659	1.0000	0.9158	1.0000	
102.2816	1.0000	1.0318	1.0000	
104.3134	1.0000	2.0000	1.0000	
107.3134	1.0000	0.9582	1.0000	
109.2716	1.0000	2.0000	1.0000	
112.2716	1.0000	0.7053	1.0000	
113.9769	1.0000	0.9463	1.0000	
115.9232	1.0000	0.7317	1.0000	
117.6549	2.0000	0.7633	1.0000	
119.4183	1.0000	0.7783	1.0000	
121.1966	1.0000	0.9405	1.0000	
123.1371	2.0000	0.8863	1.0000	
125.0234	1.0000	0.7855	1.0000	
126.8088	1.0000	1.9091	1.0000	
129.7180	1.0000	0.8841	1.0000	
131.6021	2.0000	0.7099	1.0000	
133.3120	1.0000	1.0762	1.0000	
135.3883	1.0000	1.4156	1.0000	
