Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	1.1880	1.0000	
2.1880	1.0000	0.8480	1.0000	
4.0360	2.0000	0.9073	1.0000	
5.9433	1.0000	1.2190	1.0000	
8.1624	2.0000	0.7742	1.0000	
9.9365	1.0000	2.0000	1.0000	
12.9365	1.0000	0.9080	1.0000	
14.8445	1.0000	0.7606	1.0000	
16.6051	2.0000	1.2146	1.0000	
18.8197	1.0000	0.8140	1.0000	
20.6337	1.0000	0.9183	1.0000	
22.5520	1.0000	1.2696	1.0000	
24.8216	2.0000	1.1222	1.0000	
26.9438	1.0000	0.8591	1.0000	
28.8029	1.0000	1.3235	1.0000	
31.1264	1.0000	0.9444	1.0000	
33.0708	1.0000	1.0289	1.0000	
35.0997	2.0000	0.9599	1.0000	
37.0596	1.0000	1.0216	1.0000	
39.0813	1.0000	1.1353	1.0000	
41.2165	1.0000	1.1914	1.0000	
43.4079	1.0000	0.9439	1.0000	
45.3518	1.0000	1.0320	1.0000	
47.3838	1.0000	2.0000	1.0000	
50.3838	1.0000	2.0000	1.0000	
53.3838	1.0000	1.1891	1.0000	
55.5729	1.0000	0.8349	1.0000	
57.4078	1.0000	1.1021	1.0000	
59.5099	1.0000	0.7676	1.0000	
61.2775	2.0000	0.7010	1.0000	
62.9785	1.0000	2.0000	1.0000	
65.9785	1.0000	0.8728	1.0000	
67.8513	1.0000	0.9001	1.0000	
69.7514	1.0000	0.7734	1.0000	
71.5248	1.0000	1.0038	1.0000	
73.5287	1.0000	0.7384	1.0000	
75.2670	2.0000	1.3370	1.0000	
77.6040	1.0000	0.8695	1.0000	
79.4735	1.0000	0.8410	1.0000	
81.3145	1.0000	0.8747	1.0000	
83.1893	2.0000	0.9795	1.0000	
85.1688	1.0000	0.8090	1.0000	
86.9778	1.0000	1.2070	1.0000	
89.1848	1.0000	0.8056	1.0000	
90.9904	1.0000	0.8278	1.0000	
92.8182	1.0000	0.8278	1.0000	
94.6460	2.0000	1.1353	1.0000	
96.7813	1.0000	0.7268	1.0000	
98.5081	1.0000	0.7161	1.0000	
100.2242	1.0000	1.1222	1.0000	
102.3464	1.0000	0.8958	1.0000	
104.2422	1.0000	0.9287	1.0000	
106.1709	2.0000	0.9599	1.0000	
108.1308	1.0000	0.8951	1.0000	
110.0260	1.0000	0.7702	1.0000	
111.7961	2.0000	0.7606	1.0000	
113.5567	1.0000	1.3956	1.0000	
115.9523	1.0000	1.2233	1.0000	
118.1756	1.0000	1.2827	1.0000	
120.4583	1.0000	0.9644	1.0000	
122.4226	1.0000	1.0373	1.0000	
124.4599	1.0000	1.3036	1.0000	
126.7634	1.0000	1.3382	1.0000	
129.1016	2.0000	0.7470	1.0000	
130.8486	1.0000	0.9892	1.0000	
132.8378	1.0000	1.2018	1.0000	
135.0396	1.0000	0.8092	1.0000	
136.8488	1.0000	1.5359	1.0000	
139.3847	2.0000	0.8660	1.0000	
141.2507	1.0000	0.7707	1.0000	
143.0214	1.0000	1.0080	1.0000	
145.0294	1.0000	0.7533	1.0000	
146.7826	1.0000	2.0000	1.0000	
149.7826	1.0000	1.5965	1.0000	
152.3791	1.0000	1.9136	1.0000	
155.2927	1.0000	0.9627	1.0000	
157.2555	1.0000	0.8013	1.0000	
159.0568	1.0000	1.2314	1.0000	
161.2882	1.0000	0.7843	1.0000	
163.0724	2.0000	0.8480	1.0000	
164.9205	1.0000	0.7251	1.0000	
166.6456	1.0000	0.7731	1.0000	
168.4186	2.0000	0.7676	1.0000	
170.1862	1.0000	0.7310	1.0000	
171.9172	1.0000	0.9823	1.0000	
173.8995	2.0000	1.1914	1.0000	
176.0909	1.0000	1.5163	1.0000	
178.6072	1.0000	0.7416	1.0000	
180.3488	1.0000	0.7849	1.0000	
182.1337	2.0000	0.7307	1.0000	
183.8645	1.0000	1.1646	1.0000	
186.0290	1.0000	1.5821	1.0000	
188.6112	1.0000	1.0423	1.0000	
190.6535	1.0000	0.9922	1.0000	
