Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.8548	1.0000	
1.8548	1.0000	0.7046	1.0000	
3.5594	1.0000	0.7590	1.0000	
5.3184	2.0000	1.0183	1.0000	
7.3366	1.0000	0.7577	1.0000	
9.0944	1.0000	1.6607	1.0000	
11.7550	1.0000	0.7684	1.0000	
13.5234	1.0000	1.0346	1.0000	
15.5580	1.0000	1.3503	1.0000	
17.9083	1.0000	0.8816	1.0000	
19.7899	1.0000	1.3855	1.0000	
22.1754	1.0000	0.7438	1.0000	
23.9192	2.0000	0.8437	1.0000	
25.7629	1.0000	0.9346	1.0000	
27.6975	1.0000	0.7422	1.0000	
29.4397	2.0000	0.7260	1.0000	
31.1657	1.0000	0.8013	1.0000	
32.9670	1.0000	1.7357	1.0000	
35.7027	1.0000	1.1137	1.0000	
37.8165	1.0000	1.1743	1.0000	
39.9908	1.0000	1.4992	1.0000	
42.4900	1.0000	0.7971	1.0000	
44.2871	1.0000	0.9453	1.0000	
46.2324	2.0000	0.7935	1.0000	
48.0259	1.0000	0.7415	1.0000	
49.7673	1.0000	1.0185	1.0000	
51.7858	2.0000	0.8948	1.0000	
53.6807	1.0000	0.8292	1.0000	
55.5098	1.0000	0.8543	1.0000	
57.3641	1.0000	0.8647	1.0000	
59.2288	1.0000	1.2228	1.0000	
61.4516	2.0000	0.8292	1.0000	
63.2807	1.0000	1.0047	1.0000	
65.2854	1.0000	0.7445	1.0000	
67.0299	1.0000	1.3525	1.0000	
69.3825	1.0000	2.0000	1.0000	
72.3825	1.0000	0.7917	1.0000	
74.1742	1.0000	0.9932	1.0000	
76.1674	1.0000	0.8675	1.0000	
78.0349	1.0000	0.7705	1.0000	
79.8054	2.0000	0.7645	1.0000	
81.5699	1.0000	0.7506	1.0000	
83.3205	2.0000	0.7730	1.0000	
85.0934	1.0000	0.7584	1.0000	
86.8519	1.0000	0.7204	1.0000	
88.5722	1.0000	0.7332	1.0000	
90.3054	1.0000	1.7654	1.0000	
93.0708	1.0000	0.7534	1.0000	
94.8242	2.0000	0.8121	1.0000	
96.6363	1.0000	0.8653	1.0000	
98.5016	1.0000	1.0147	1.0000	
100.5163	1.0000	1.7187	1.0000	
103.2350	1.0000	1.1998	1.0000	
105.4348	1.0000	0.8195	1.0000	
107.2543	1.0000	0.7713	1.0000	
109.0256	1.0000	2.0000	1.0000	
112.0256	1.0000	0.8098	1.0000	
113.8353	2.0000	2.0000	1.0000	
116.8353	1.0000	1.2550	1.0000	
119.0903	1.0000	1.0890	1.0000	
121.1793	1.0000	0.8684	1.0000	
123.0477	1.0000	1.4789	1.0000	
125.5266	2.0000	0.7445	1.0000	
127.2712	1.0000	0.7689	1.0000	
129.0400	1.0000	2.0000	1.0000	
132.0400	1.0000	0.8303	1.0000	
133.8704	1.0000	1.2312	1.0000	
136.1016	1.0000	1.5629	1.0000	
138.6645	2.0000	1.2098	1.0000	
140.8743	1.0000	1.2697	1.0000	
143.1441	1.0000	1.2998	1.0000	
145.4438	1.0000	2.0000	1.0000	
148.4438	1.0000	1.7219	1.0000	
151.1657	2.0000	0.7422	1.0000	
152.9079	1.0000	0.9391	1.0000	
154.8470	1.0000	2.0000	1.0000	
157.8470	1.0000	1.6277	1.0000	
160.4747	1.0000	0.7172	1.0000	
162.1919	1.0000	0.8192	1.0000	
164.0111	1.0000	0.8664	1.0000	
165.8774	2.0000	1.1097	1.0000	
167.9872	1.0000	0.8948	1.0000	
169.8820	1.0000	0.8083	1.0000	
171.6902	1.0000	0.8954	1.0000	
173.5856	1.0000	0.7301	1.0000	
175.3157	1.0000	0.9807	1.0000	
177.2964	1.0000	0.7890	1.0000	
179.0854	2.0000	0.7896	1.0000	
180.8750	1.0000	0.9677	1.0000	
182.8426	1.0000	2.0000	1.0000	
185.8426	1.0000	0.9157	1.0000	
187.7584	1.0000	1.8562	1.0000	
190.6146	1.0000	0.7844	1.0000	
192.3990	1.0000	1.9282	1.0000	
195.3272	2.0000	0.7710	1.0000	
197.0982	1.0000	2.0000	1.0000	
200.0982	1.0000	0.8813	1.0000	
201.9795	1.0000	0.7254	1.0000	
203.7049	2.0000	0.7744	1.0000	
205.4794	1.0000	0.8968	1.0000	
207.3761	1.0000	0.9040	1.0000	
209.2801	1.0000	0.8437	1.0000	
211.1238	1.0000	0.7834	1.0000	
212.9072	1.0000	0.7519	1.0000	
214.6591	1.0000	0.7881	1.0000	
216.4472	2.0000	0.7332	1.0000	
218.1804	1.0000	1.0168	1.0000	
220.1972	1.0000	1.0751	1.0000	
222.2723	1.0000	0.7492	1.0000	
224.0215	1.0000	1.3026	1.0000	
226.3241	1.0000	1.0173	1.0000	
228.3414	1.0000	0.7715	1.0000	
230.1129	1.0000	0.7250	1.0000	
231.8379	1.0000	1.9612	1.0000	
