Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.7994	1.0000	
1.7994	1.0000	0.7471	1.0000	
3.5465	1.0000	1.5007	1.0000	
6.0472	1.0000	0.8486	1.0000	
7.8958	1.0000	0.8356	1.0000	
9.7314	2.0000	0.7069	1.0000	
11.4382	1.0000	0.9808	1.0000	
13.4190	1.0000	1.1932	1.0000	
15.6122	1.0000	2.0000	1.0000	
18.6122	1.0000	0.8277	1.0000	
20.4399	2.0000	0.7151	1.0000	
22.1550	1.0000	0.9419	1.0000	
24.0969	1.0000	0.9748	1.0000	
26.0717	2.0000	0.7895	1.0000	
27.8612	1.0000	0.9188	1.0000	
29.7800	1.0000	1.1219	1.0000	
31.9020	1.0000	0.8435	1.0000	
33.7455	2.0000	0.9940	1.0000	
35.7395	1.0000	0.9948	1.0000	
37.7343	1.0000	0.7201	1.0000	
39.4544	1.0000	0.9435	1.0000	
41.3979	2.0000	1.2547	1.0000	
43.6527	1.0000	1.2893	1.0000	
45.9420	1.0000	1.6470	1.0000	
48.5890	1.0000	0.8039	1.0000	
50.3929	1.0000	1.2137	1.0000	
52.6066	1.0000	2.0000	1.0000	
55.6066	2.0000	0.9176	1.0000	
57.5241	1.0000	0.7525	1.0000	
59.2766	1.0000	0.7326	1.0000	
61.0092	1.0000	0.9657	1.0000	
62.9750	1.0000	1.8755	1.0000	
65.8505	1.0000	1.1657	1.0000	
68.0162	1.0000	0.9940	1.0000	
70.0102	1.0000	1.0004	1.0000	
72.0105	1.0000	0.7937	1.0000	
73.8042	1.0000	1.3261	1.0000	
76.1303	1.0000	1.0544	1.0000	
78.1847	2.0000	1.5043	1.0000	
80.6890	1.0000	0.8418	1.0000	
82.5308	1.0000	0.7911	1.0000	
84.3220	1.0000	0.7202	1.0000	
86.0422	1.0000	0.7011	1.0000	
87.7433	1.0000	1.3697	1.0000	
90.1130	1.0000	1.8795	1.0000	
92.9925	1.0000	0.7344	1.0000	
94.7268	1.0000	0.7623	1.0000	
96.4891	1.0000	1.0489	1.0000	
98.5380	1.0000	1.8612	1.0000	
101.3992	1.0000	0.9906	1.0000	
103.3898	2.0000	0.9227	1.0000	
105.3125	1.0000	0.8680	1.0000	
107.1804	1.0000	0.7420	1.0000	
108.9224	1.0000	0.7816	1.0000	
110.7040	1.0000	1.4051	1.0000	
113.1091	1.0000	1.2456	1.0000	
115.3547	1.0000	1.2715	1.0000	
117.6262	1.0000	2.0000	1.0000	
120.6262	1.0000	1.0894	1.0000	
122.7156	2.0000	1.3604	1.0000	
125.0760	1.0000	1.3466	1.0000	
127.4226	1.0000	0.7052	1.0000	
129.1279	1.0000	0.9429	1.0000	
131.0708	1.0000	0.7391	1.0000	
132.8099	2.0000	1.0544	1.0000	
134.8643	1.0000	0.7308	1.0000	
136.5951	1.0000	1.0753	1.0000	
138.6704	1.0000	1.4020	1.0000	
141.0723	1.0000	0.7128	1.0000	
142.7851	1.0000	0.8261	1.0000	
144.6112	2.0000	0.7102	1.0000	
146.3213	1.0000	0.9169	1.0000	
148.2382	1.0000	1.9363	1.0000	
151.1745	1.0000	0.9307	1.0000	
153.1052	1.0000	0.8316	1.0000	
154.9368	1.0000	1.0122	1.0000	
156.9490	2.0000	0.7227	1.0000	
158.6718	1.0000	1.4460	1.0000	
161.1178	1.0000	1.8136	1.0000	
163.9313	1.0000	0.7366	1.0000	
165.6679	1.0000	1.1287	1.0000	
167.7966	1.0000	0.9636	1.0000	
169.7602	2.0000	1.5804	1.0000	
172.3406	1.0000	1.1442	1.0000	
174.4848	2.0000	1.7918	1.0000	
177.2766	1.0000	0.8619	1.0000	
179.1384	1.0000	0.8181	1.0000	
180.9565	1.0000	1.0362	1.0000	
182.9927	2.0000	0.7052	1.0000	
184.6980	1.0000	0.7040	1.0000	
186.4020	1.0000	1.3604	1.0000	
188.7624	1.0000	0.7405	1.0000	
190.5029	1.0000	1.1245	1.0000	
192.6275	2.0000	0.9965	1.0000	
194.6240	1.0000	0.9762	1.0000	
196.6002	1.0000	0.7726	1.0000	
198.3728	1.0000	0.7227	1.0000	
200.0955	2.0000	0.8885	1.0000	
201.9840	1.0000	0.9376	1.0000	
203.9216	1.0000	0.7191	1.0000	
205.6408	1.0000	1.0978	1.0000	
207.7385	1.0000	0.7008	1.0000	
209.4394	2.0000	1.9363	1.0000	
212.3757	1.0000	1.0677	1.0000	
214.4433	1.0000	1.8017	1.0000	
217.2450	1.0000	1.4006	1.0000	
219.6456	1.0000	0.8780	1.0000	
221.5236	1.0000	1.0660	1.0000	
223.5896	1.0000	2.0000	1.0000	
226.5896	1.0000	0.7381	1.0000	
228.3278	1.0000	0.7802	1.0000	
230.1080	1.0000	1.3534	1.0000	
232.4614	1.0000	0.8319	1.0000	
234.2933	1.0000	0.7546	1.0000	
236.0479	2.0000	0.7366	1.0000	
237.7845	1.0000	0.8708	1.0000	
239.6553	1.0000	0.8885	1.0000	
241.5439	1.0000	0.9155	1.0000	
243.4594	2.0000	0.8891	1.0000	
245.3485	1.0000	0.7151	1.0000	
247.0637	1.0000	0.8448	1.0000	
248.9085	1.0000	1.8231	1.0000	
251.7315	1.0000	0.9275	1.0000	
253.6590	1.0000	2.0000	1.0000	
256.6590	1.0000	2.0000	1.0000	
259.6590	1.0000	0.8421	1.0000	
261.5011	1.0000	0.7954	1.0000	
263.2965	2.0000	1.8612	1.0000	
266.1578	1.0000	0.7202	1.0000	
267.8780	1.0000	0.9926	1.0000	
269.8706	2.0000	0.9435	1.0000	
271.8141	1.0000	0.8319	1.0000	
273.6459	1.0000	0.9413	1.0000	
275.5873	1.0000	1.0970	1.0000	
277.6842	1.0000	1.5043	1.0000	
280.1886	1.0000	1.3802	1.0000	
282.5688	1.0000	1.9087	1.0000	
285.4775	1.0000	1.7918	1.0000	
288.2693	1.0000	0.9794	1.0000	
290.2487	1.0000	1.5529	1.0000	
292.8015	1.0000	0.8537	1.0000	
