Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	2.0000	1.0000	
3.0000	1.0000	1.5786	1.0000	
5.5786	2.0000	1.0218	1.0000	
7.6005	1.0000	0.7298	1.0000	
9.3303	1.0000	0.9327	1.0000	
11.2630	1.0000	1.4532	1.0000	
13.7162	1.0000	1.4671	1.0000	
16.1833	1.0000	0.7453	1.0000	
17.9285	1.0000	1.0210	1.0000	
19.9495	1.0000	0.7649	1.0000	
21.7144	2.0000	0.7714	1.0000	
23.4859	1.0000	0.7066	1.0000	
25.1925	1.0000	1.1270	1.0000	
27.3195	2.0000	0.7895	1.0000	
29.1090	1.0000	0.8971	1.0000	
31.0061	1.0000	1.0214	1.0000	
33.0276	1.0000	1.4513	1.0000	
35.4788	1.0000	1.3423	1.0000	
37.8211	1.0000	2.0000	1.0000	
40.8211	1.0000	0.7174	1.0000	
42.5385	1.0000	1.4937	1.0000	
45.0322	1.0000	1.5902	1.0000	
47.6224	1.0000	2.0000	1.0000	
50.6224	1.0000	2.0000	1.0000	
53.6224	1.0000	1.1149	1.0000	
55.7373	1.0000	1.0430	1.0000	
57.7803	1.0000	0.8775	1.0000	
59.6578	1.0000	0.7207	1.0000	
61.3786	1.0000	0.8383	1.0000	
63.2169	2.0000	0.7664	1.0000	
64.9833	1.0000	0.8817	1.0000	
66.8650	1.0000	1.1092	1.0000	
68.9742	1.0000	1.0184	1.0000	
70.9926	1.0000	1.1490	1.0000	
73.1416	1.0000	1.1303	1.0000	
75.2719	2.0000	2.0000	1.0000	
78.2719	1.0000	0.7902	1.0000	
80.0621	1.0000	0.7603	1.0000	
81.8224	1.0000	2.0000	1.0000	
84.8224	1.0000	1.0086	1.0000	
86.8311	1.0000	0.8917	1.0000	
88.7228	1.0000	0.8088	1.0000	
90.5316	2.0000	0.9009	1.0000	
92.4324	1.0000	1.7706	1.0000	
95.2030	1.0000	1.0524	1.0000	
97.2554	1.0000	0.7652	1.0000	
99.0206	1.0000	1.3124	1.0000	
101.3330	1.0000	1.0709	1.0000	
103.4039	2.0000	1.0385	1.0000	
105.4424	1.0000	1.0984	1.0000	
107.5408	1.0000	0.7642	1.0000	
