Event1 onset	Trial type	ISI1	Event1Dur	
0.0000	1.0000	0.7144	1.0000	
1.7144	2.0000	0.9008	1.0000	
3.6153	1.0000	0.8290	1.0000	
5.4442	1.0000	0.8006	1.0000	
7.2448	1.0000	0.9119	1.0000	
9.1567	1.0000	0.9444	1.0000	
11.1011	1.0000	1.4589	1.0000	
13.5600	1.0000	1.1087	1.0000	
15.6687	1.0000	0.7568	1.0000	
17.4255	2.0000	0.7568	1.0000	
19.1823	1.0000	1.2181	1.0000	
21.4005	2.0000	0.7482	1.0000	
23.1487	1.0000	0.7245	1.0000	
24.8732	1.0000	0.7699	1.0000	
26.6432	2.0000	0.7441	1.0000	
28.3873	1.0000	0.8224	1.0000	
30.2097	1.0000	0.9731	1.0000	
32.1829	1.0000	0.7468	1.0000	
33.9297	1.0000	1.5576	1.0000	
36.4872	1.0000	1.9256	1.0000	
39.4129	1.0000	0.7371	1.0000	
41.1500	1.0000	0.8992	1.0000	
43.0492	1.0000	1.2744	1.0000	
45.3236	1.0000	0.8476	1.0000	
47.1712	1.0000	1.3612	1.0000	
49.5325	1.0000	1.5587	1.0000	
52.0912	1.0000	1.1233	1.0000	
54.2144	2.0000	1.1764	1.0000	
56.3909	1.0000	0.7441	1.0000	
58.1350	1.0000	0.7645	1.0000	
59.8995	1.0000	1.5246	1.0000	
62.4241	1.0000	0.7464	1.0000	
64.1705	2.0000	0.7858	1.0000	
65.9564	1.0000	1.5654	1.0000	
68.5218	1.0000	1.1570	1.0000	
70.6788	1.0000	0.7487	1.0000	
72.4275	1.0000	2.0000	1.0000	
75.4275	1.0000	1.6699	1.0000	
78.0975	2.0000	1.4401	1.0000	
80.5375	1.0000	1.9900	1.0000	
83.5275	1.0000	1.3136	1.0000	
85.8412	1.0000	1.0251	1.0000	
87.8663	1.0000	1.1064	1.0000	
89.9727	2.0000	0.7871	1.0000	
91.7599	1.0000	0.7061	1.0000	
93.4660	2.0000	0.7487	1.0000	
95.2147	1.0000	0.7250	1.0000	
96.9397	1.0000	0.9512	1.0000	
98.8909	1.0000	2.0000	1.0000	
101.8909	1.0000	1.4572	1.0000	
104.3482	1.0000	1.2123	1.0000	
106.5605	2.0000	0.7699	1.0000	
108.3304	1.0000	0.8074	1.0000	
110.1378	1.0000	0.7868	1.0000	
111.9246	1.0000	0.8649	1.0000	
113.7895	1.0000	0.7660	1.0000	
115.5555	1.0000	0.8112	1.0000	
117.3667	1.0000	0.8246	1.0000	
119.1912	2.0000	0.7305	1.0000	
120.9217	1.0000	0.8651	1.0000	
122.7868	1.0000	1.8637	1.0000	
125.6505	2.0000	0.8085	1.0000	
127.4589	1.0000	0.8709	1.0000	
129.3298	1.0000	0.8558	1.0000	
131.1856	1.0000	0.8062	1.0000	
132.9918	1.0000	1.7018	1.0000	
135.6936	1.0000	0.7223	1.0000	
137.4160	1.0000	1.5795	1.0000	
139.9955	1.0000	1.5663	1.0000	
142.5618	1.0000	1.0349	1.0000	
144.5967	1.0000	0.7122	1.0000	
146.3089	1.0000	0.7469	1.0000	
148.0559	1.0000	1.1419	1.0000	
150.1977	2.0000	0.8261	1.0000	
152.0238	1.0000	0.7076	1.0000	
153.7314	1.0000	0.9199	1.0000	
155.6513	1.0000	1.7411	1.0000	
158.3924	1.0000	1.3316	1.0000	
160.7240	2.0000	0.9512	1.0000	
